Date,File Name,Individual ,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Context
09/03/2017,BudongoAS WS 2017-03-09 Clip - 1 09;36;10 MAC.wav,MAC,0.104873,,,,,,,,,,,,,Traveling
27/04/2017,BudongoAS WS 2017-04-27 Clip - 3 13;26;06 TRS.wav,TRS,0.087762,0.109038,0.194141,0.087762,0.242011,0.771243,,,,,,,,Traveling
27/04/2017,BudongoAS WS 2017-04-27 Clip - 11 15;55;22 TRS (FID).wav,TRS,0.224404,0.132825,0.172673,0.10294,0.079695,0.371911,,,,,,,,Traveling
12/06/2019,Budongo MH 2019-06-12 Clip 4 ILA PH-DR db GT to GR,ILA,0.089311,,,,,,,,,,,,,Resting
15/06/2019,Budongo VE 2019-06-15 Clip 93 in response to PH ILA PH-DR 2 double beats and TRS joined GT.wav,ILA,0.05313,0.786777,0.073054,,,,,,,,,,,Traveling
15/06/2019,Budongo VE 2019-06-15 Clip 66 ALF PH-DR double beat GT.wav,ALF,0.071214,,,,,,,,,,,,,Traveling
15/06/2019,Budongo VE 2019-06-15 Clip 105 ALF PH-DR GT.wav,ALF,0.082468,,,,,,,,,,,,,Traveling
15/06/2019,Budongo VE 2019-06-15 Clip 116 ALF PH-DR GT.wav,ALF,0.078503,,,,,,,,,,,,,Traveling
20/06/2019,Budongo VE 2019-06-20 Clip 1 BEN and DAUDI PH-DRs (3 beats? and 2 beats?) and lots of calls,BEN,0.097959,0.345687,0.305158,,,,,,,,,,,Traveling
20/06/2019,Budongo VE 2019-06-20 Clip 2 BEN PH-DR 3 beats and UNK (DAU?),BEN,0.09566,0.332064,,,,,,,,,,,,Traveling
23/06/2019,2019-06-23 Clip 3 MAC PH-DR 3 beats+ 3 single beats and others PH-re CMI tree.wav,MAC,0.074714,0.295537,0.351987,0.320441,,,,,,,,,,Resting
23/06/2019,2019-06-23 Clip 36 DAU PH-DR 2+2 (GT) tree CYA.wav,DAU,0.075441,0.419072,0.072269,,,,,,,,,,,Traveling
23/06/2019,2019-06-23 Clip 25 MAC PH-DR (GR to GR).wav,MAC,0.104104,,,,,,,,,,,,,Resting
26/06/2019,2019-06-26 Clip 2 ALF PH-DR db (GT) ,ALF,0.087997,,,,,,,,,,,,,Traveling
26/06/2019,2019-06-26 Clip 5 Multiple PH-DRs but not clear and 1 clear ALF PH-DR db,ALF,0.079695,,,,,,,,,,,,,Traveling
03/07/2019,Budongo VE 2019-07-03 Clip 7 DAU PH-DR CYA dbh 70.wav,DAU,0.042131,0.282254,,,,,,,,,,,,Traveling
03/07/2019,Budongo VE 2019-07-03 Clip 2 ALF PH-DR db (GT).wav,ALF,0.07417,,,,,,,,,,,,,Traveling
08/07/2019,Budongo VE 2019-07-08 Clip 16 ILA PH-DR CYA 150dbh GT .wav,ILA,0.067715,0.335543,0.057608,,,,,,,,,,,Traveling
08/07/2019,Budongo VE 2019-07-08 Clip 8 FID PH-DR CMI tree 80 diam.wav,FID,0.204,,,,,,,,,,,,,Resting
11/07/2019,Budongo VE 2019-07-11 Clip 11 DAU PH-DR (GT) .wav,DAU,0.076876,,,,,,,,,,,,,Traveling
16/07/2019,Budongo VE 2019-07-16 Clip 17 TRS PH-DR (Hands) and SAM PH-DR (Feet) same tree CMI 60 dbh.wav,TRS,0.140699,0.126184,0.116222,0.251538,0.21169,,,,,,,,,Traveling
16/07/2019,Budongo VE 2019-07-16 Clip 18 TRS PH-DR complex and SAM PH-DR 2+1beats (GT or Display?).wav,TRS,0.078035,0.099204,0.193427,,,,,,,,,,,Traveling
16/07/2019,Budongo VE 2019-07-16 Clip 1 DAU? PH-DR 50m (not MAC) .wav,DAU,0.132825,,,,,,,,,,,,,Traveling
16/07/2019,Budongo VE 2019-07-16 Clip 17 TRS PH-DR (Hands) and SAM PH-DR (Feet) same tree CMI 60 dbh.wav,SAM,0.065,,,,,,,,,,,,,Traveling
20/07/2019,Budongo VE 2019-07-20 Clip 36 BEN PH-DR (GT) tree CMU dbh 90.wav,BEN,0.105724,0.324177,0.327204,,,,,,,,,,,Traveling
20/07/2019,Budongo VE 2019-07-20 Clip 56 BEN PH-DR (GT alone) 2b+1+1b.wav,BEN,0.101279,0.324177,0.739694,,,,,,,,,,,Traveling
20/07/2019,Budongo VE 2019-07-20 Clip 7 BEN PH-DR (GT).wav,BEN,0.101587,0.294929,,,,,,,,,,,,Traveling
20/07/2019,Budongo VE 2019-07-20 Clip 37 BEN PH-DR (GT) tree CYA dbh 70.wav,BEN,0.073698,0.362475,,,,,,,,,,,,Traveling
20/07/2019,Budongo VE 2019-07-20 Clip 54 BEN PH-DR (GT alone) 2b+1b CAL dbh 50.wav,BEN,0.076402,0.338598,,,,,,,,,,,,Traveling
