period,focal,age,rank,context,group_size,drum,signal_type
1,ALF,21,0.867,Resting,11,0,PH
1,ALF,21,0.867,Traveling,11,1,PH-D
1,ALF,21,0.867,Traveling,1,1,PH-D
1,ALF,21,0.867,Traveling,1,1,PH-D
1,ALF,21,0.867,Resting,4,0,PH
1,ALF,21,0.867,Resting,4,1,PH-D
1,ALF,21,0.867,Traveling,7,1,PH-D
1,ALF,21,0.867,Traveling,7,0,PH
1,TRS,33,0.9,Resting,2,1,PH-D
1,TRS,33,0.9,Traveling,4,1,PH-D
1,TRS,33,0.9,Traveling,4,0,PH
1,TRS,33,0.9,Resting,15,0,PH
1,TRS,33,0.9,Resting,15,0,PH
1,TRS,33,0.9,Resting,15,0,PH
1,TRS,33,0.9,Resting,16,0,PH
1,TRS,33,0.9,Resting,16,0,PH
1,TRS,33,0.9,Resting,16,0,PH
1,TRS,33,0.9,Feeding,16,0,PH
1,TRS,33,0.9,Feeding,16,0,PH
1,TRS,33,0.9,Feeding,16,0,PH
1,TRS,33,0.9,Feeding,16,0,PH
1,TRS,33,0.9,Feeding,16,0,PH
1,TRS,33,0.9,Resting,16,0,PH
1,TRS,33,0.9,Feeding,16,0,PH
1,TRS,33,0.9,Resting,14,0,PH
1,TRS,33,0.9,Resting,14,0,PH
1,TRS,33,0.9,Resting,14,0,PH
1,TRS,33,0.9,Resting,12,0,PH
1,BEN,27,1,Feeding,11,0,PH
1,BEN,27,1,Feeding,11,0,PH
1,BEN,27,1,Feeding,11,0,PH
1,BEN,27,1,Traveling,11,0,PH
1,BEN,27,1,Traveling,11,0,PH
1,BEN,27,1,Resting,14,0,PH
1,BEN,27,1,Resting,14,0,PH
1,BEN,27,1,Resting,14,0,PH
1,BEN,27,1,Resting,14,0,PH
1,BEN,27,1,Resting,16,0,PH
1,BEN,27,1,Resting,16,0,PH
1,BEN,27,1,Resting,16,0,PH
1,BEN,27,1,Resting,16,0,PH
1,BEN,27,1,Resting,16,0,PH
1,BEN,27,1,Feeding,19,0,PH
1,BEN,27,1,Resting,19,0,PH
1,BEN,27,1,Resting,19,0,PH
1,BEN,27,1,Resting,19,0,PH
1,BEN,27,1,Resting,19,0,PH
1,BEN,27,1,Resting,7,0,PH
1,MAC,21,0.767,Resting,1,1,PH-D
1,MAC,21,0.767,Resting,1,0,PH
1,MAC,21,0.767,Traveling,1,1,PH-D
1,MAC,21,0.767,Traveling,1,0,PH
1,MAC,21,0.767,Traveling,12,0,PH
1,MAC,21,0.767,Feeding,1,1,PH-D
1,MAC,21,0.767,Feeding,7,0,PH
1,MAC,21,0.767,Traveling,10,0,PH
1,ALF,21,0.867,Traveling,6,1,PH-D
1,ALF,21,0.867,Resting,6,1,PH-D
1,ALF,21,0.867,Traveling,3,0,PH
1,ALF,21,0.867,Traveling,3,1,PH-D
1,ALF,21,0.867,Traveling,3,1,PH-D
1,ALF,21,0.867,Traveling,1,1,PH-D
1,ALF,21,0.867,Traveling,2,0,PH
1,MAC,21,0.767,Traveling,1,1,PH-D
1,SAM,20,0.667,Resting,1,1,D
1,SAM,20,0.667,Traveling,1,1,PH-D
1,MAC,21,0.767,Traveling,3,0,PH
1,MAC,21,0.767,Traveling,3,1,PH-D
1,ALF,21,0.867,Feeding,1,0,PH
1,ALF,21,0.867,Traveling,1,0,PH
1,ILA,20,0.5,Display,2,1,D
1,ILA,20,0.5,Display,6,1,D
1,ILA,20,0.5,Display,6,1,D
1,ILA,20,0.5,Resting,1,1,PH-D
1,ILA,20,0.5,Resting,1,0,PH
1,ILA,20,0.5,Traveling,1,1,PH-D
1,ILA,20,0.5,Resting,7,0,PH
1,MAC,21,0.767,Traveling,2,1,PH-D
1,MAC,21,0.767,Resting,2,0,PH
1,TRS,33,0.9,Resting,1,0,PH
1,TRS,33,0.9,Traveling,2,1,PH-D
1,TRS,33,0.9,Traveling,2,1,PH-D
1,TRS,33,0.9,Traveling,2,1,PH-D
1,BEN,27,1,Resting,1,0,PH
1,BEN,27,1,Resting,1,0,PH
1,BEN,27,1,Resting,6,0,PH
