focal;drum;estr_females;psp;rank;context;group_size
ALF;0;1;1;0,867;Resting;11
ALF;1;1;1;0,867;Traveling;11
ALF;1;0;0;0,867;Traveling;1
ALF;1;0;0;0,867;Traveling;1
ALF;0;1;1;0,867;Resting;4
ALF;1;1;1;0,867;Resting;4
ALF;1;1;1;0,867;Traveling;7
ALF;0;1;1;0,867;Traveling;7
TRS;1;0;1;0,9;Resting;2
TRS;1;0;1;0,9;Traveling;4
TRS;0;0;1;0,9;Traveling;4
TRS;0;0;1;0,9;Resting;15
TRS;0;0;1;0,9;Resting;15
TRS;0;0;1;0,9;Resting;15
TRS;0;0;1;0,9;Resting;16
TRS;0;0;1;0,9;Resting;16
TRS;0;0;1;0,9;Resting;16
TRS;0;0;1;0,9;Feeding;16
TRS;0;0;1;0,9;Feeding;16
TRS;0;0;1;0,9;Feeding;16
TRS;0;0;1;0,9;Feeding;16
TRS;0;0;1;0,9;Feeding;16
TRS;0;0;1;0,9;Resting;16
TRS;0;0;1;0,9;Feeding;16
TRS;0;0;1;0,9;Resting;14
TRS;0;0;1;0,9;Resting;14
TRS;0;0;1;0,9;Resting;14
TRS;0;1;1;0,9;Resting;12
BEN;0;1;1;1;Feeding;11
BEN;0;1;1;1;Feeding;11
BEN;0;1;1;1;Feeding;11
BEN;0;1;1;1;Traveling;11
BEN;0;1;1;1;Traveling;11
BEN;0;1;1;1;Resting;14
BEN;0;1;1;1;Resting;14
BEN;0;1;1;1;Resting;14
BEN;0;1;1;1;Resting;14
BEN;0;1;1;1;Resting;16
BEN;0;1;1;1;Resting;16
BEN;0;1;1;1;Resting;16
BEN;0;1;1;1;Resting;16
BEN;0;1;1;1;Resting;16
BEN;0;1;1;1;Feeding;19
BEN;0;1;1;1;Resting;19
BEN;0;1;1;1;Resting;19
BEN;0;1;1;1;Resting;19
BEN;0;1;1;1;Resting;19
BEN;0;1;1;1;Resting;7
MAC;1;0;0;0,767;Resting;1
MAC;0;0;0;0,767;Resting;1
MAC;1;0;0;0,767;Traveling;1
MAC;0;0;0;0,767;Traveling;1
MAC;0;0;1;0,767;Traveling;12
MAC;1;0;0;0,767;Feeding;1
MAC;0;0;1;0,767;Feeding;7
MAC;0;0;1;0,767;Traveling;10
ALF;1;0;1;0,867;Traveling;6
ALF;1;0;1;0,867;Resting;6
ALF;0;0;1;0,867;Traveling;3
ALF;1;0;1;0,867;Traveling;3
ALF;1;0;1;0,867;Traveling;3
ALF;1;0;0;0,867;Traveling;1
ALF;0;0;0;0,867;Traveling;2
MAC;1;0;0;0,767;Traveling;1
SAM;1;0;0;0,667;Resting;1
SAM;1;0;0;0,667;Traveling;1
MAC;0;0;0;0,767;Traveling;3
MAC;1;0;0;0,767;Traveling;3
ALF;0;0;0;0,867;Feeding;1
ALF;0;0;0;0,867;Traveling;1
ILA;1;0;0;0,5;Display;2
ILA;1;0;0;0,5;Display;6
ILA;1;0;0;0,5;Display;6
ILA;1;0;0;0,5;Resting;1
ILA;0;0;0;0,5;Resting;1
ILA;1;0;0;0,5;Traveling;1
ILA;0;0;1;0,5;Resting;7
MAC;1;0;1;0,767;Traveling;2
MAC;0;0;1;0,767;Resting;2
TRS;0;0;0;0,9;Resting;1
TRS;1;0;0;0,9;Traveling;2
TRS;1;0;0;0,9;Traveling;2
TRS;1;0;0;0,9;Traveling;2
BEN;0;0;0;1;Resting;1
BEN;0;0;0;1;Resting;1
BEN;0;0;0;1;Resting;6
BEN;0;0;1;1;Resting;9
BEN;0;0;1;1;Resting;9
BEN;1;0;1;1;Traveling;9
BEN;0;0;1;1;Traveling;5
BEN;0;0;1;1;Resting;16
BEN;1;1;1;1;Traveling;16
BEN;0;1;1;1;Traveling;16
BEN;1;0;1;1;Traveling;12
BEN;1;0;1;1;Traveling;12
BEN;1;0;1;1;Traveling;6
BEN;1;0;1;1;Traveling;6
BEN;1;0;0;1;Traveling;2
BEN;1;0;1;1;Traveling;2
BEN;1;0;0;1;Traveling;1
BEN;1;0;0;1;Traveling;1
ILA;0;0;0;0,5;Traveling;7
MAC;0;0;1;0,767;Resting;2
MAC;0;0;1;0,767;Resting;2
MAC;1;1;1;0,76;Traveling;8
MAC;1;0;0;0,76;Display;1
MAC;0;0;0;0,76;Resting;1
MAC;0;0;1;0,76;Resting;2
MAC;1;0;1;0,76;Traveling;2
MAC;1;0;1;0,76;Resting;2
MAC;1;0;1;0,76;Resting;3
MAC;0;0;1;0,76;Resting;3
MAC;1;1;1;0,76;Traveling;5
MAC;1;0;1;0,76;Traveling;10
MAC;1;1;1;0,76;Traveling;9
MAC;0;1;0;0,76;Resting;13
BEN;0;0;1;1;Resting;4
BEN;1;0;1;1;Traveling;6
BEN;1;0;1;1;Resting;2
BEN;0;0;1;1;Resting;2
BEN;0;0;1;1;Resting;2
BEN;0;0;1;1;Resting;2
BEN;0;0;1;1;Resting;6
ALF;0;0;0;0,84;Resting;4
ALF;1;0;1;0,84;Traveling;10
ALF;1;0;0;0,84;Traveling;1
ALF;1;0;0;0,84;Traveling;1
ALF;1;0;0;0,84;Traveling;1
BEN;1;0;0;1;Resting;2
BEN;1;1;1;1;Traveling;5
BEN;1;1;1;1;Traveling;5
BEN;1;0;1;1;Traveling;4
FID;1;0;0;0,4;Resting;1
FID;0;0;1;0,4;Traveling;10
FID;0;0;0;0,4;Resting;1
FID;1;0;0;0,4;Traveling;1
FID;1;0;0;0,4;Traveling;4
FID;0;0;0;0,4;Resting;2
FID;0;0;0;0,4;Traveling;2
FID;1;0;0;0,4;Traveling;2
FID;1;0;0;0,4;Traveling;2
FID;0;0;0;0,4;Resting;3
FID;0;0;0;0,4;Traveling;4
FID;1;0;0;0,4;Traveling;4
FID;1;0;0;0,4;Traveling;4
FID;0;0;0;0,4;Resting;1
FID;0;0;0;0,4;Traveling;2
FID;1;0;0;0,4;Traveling;3
FID;1;0;0;0,4;Resting;3
FID;1;0;0;0,4;Resting;3
FID;0;0;0;0,4;Resting;3
MAC;0;0;0;0,76;Resting;4
MAC;0;0;1;0,76;Resting;5
MAC;0;1;1;0,76;Display;8
MAC;0;0;1;0,76;Traveling;5
MAC;0;1;1;0,76;Resting;29
MAC;0;1;1;0,76;Resting;34
MAC;0;1;1;0,76;Resting;8
MAC;0;1;1;0,76;Feeding;13
ILA;1;0;0;0,52;Traveling;1
ILA;1;0;0;0,52;Traveling;2
ILA;1;0;0;0,52;Display;2
ILA;1;0;0;0,52;Display;1
ILA;1;0;0;0,52;Display;1
ILA;1;0;0;0,52;Traveling;1
SAM;0;0;0;0,68;Resting;23
LAF;0;0;1;0,24;Traveling;4
SAM;1;0;0;0,68;Display;22
TRS;0;0;1;0,92;Resting;3
TRS;0;0;1;0,92;Resting;3
TRS;0;0;1;0,92;Resting;3
TRS;0;0;0;0,92;Resting;1
TRS;0;0;0;0,92;Resting;1
TRS;0;0;1;0,92;Resting;23
TRS;1;0;0;0,92;Traveling;1
TRS;0;0;0;0,92;Traveling;1
TRS;0;0;0;0,92;Resting;1
TRS;0;0;0;0,92;Resting;1
TRS;0;0;0;0,92;Resting;3
TRS;0;0;0;0,92;Resting;3
TRS;0;0;0;0,92;Resting;2
TRS;0;0;0;0,92;Resting;2
TRS;0;0;0;0,92;Traveling;1
TRS;1;0;1;0,92;Traveling;2
TRS;0;0;1;0,92;Traveling;25
TRS;0;0;1;0,92;Traveling;2
TRS;0;0;1;0,92;Resting;2
TRS;0;0;1;0,92;Resting;2
TRS;0;0;1;0,92;Traveling;5
TRS;0;1;1;0,92;Resting;25
TRS;1;1;1;0,92;Resting;25
TRS;0;0;1;0,92;Resting;22
TRS;0;0;1;0,92;Resting;3
TRS;0;0;1;0,92;Resting;4
LAF;1;0;0;0,24;Traveling;1
LAF;1;1;1;0,24;Resting;8
LAF;1;0;1;0,24;Traveling;8
LAF;0;0;0;0,24;Traveling;5
LAF;0;0;1;0,24;Feeding;5
LAF;0;0;1;0,24;Feeding;4
FID;0;1;1;0,4;Resting;23
FID;1;1;0;0,4;Display;2
FID;1;1;0;0,4;Display;2
ALF;0;0;0;0,84;Feeding;5
ALF;0;0;0;0,84;Feeding;5
ALF;1;0;0;0,84;Traveling;1
ALF;1;0;0;0,84;Display;1
ALF;0;0;0;0,84;Resting;2
ALF;0;0;0;0,84;Resting;2
ALF;0;0;0;0,84;Traveling;3
ALF;0;0;0;0,84;Traveling;3
ALF;1;0;0;0,84;Traveling;3
ALF;0;1;1;0,84;Resting;13
ALF;0;1;1;0,84;Traveling;8
ALF;0;1;1;0,84;Feeding;8
ALF;0;1;1;0,84;Feeding;8
ALF;0;1;1;0,84;Feeding;8
ALF;0;1;1;0,84;Feeding;8
ALF;0;0;0;0,84;Resting;2
TRS;0;0;0;0,92;Traveling;1
BEN;1;0;1;1;Traveling;2
BEN;1;0;1;1;Traveling;2
BEN;1;0;0;1;Traveling;1
BEN;1;0;0;1;Traveling;1
BEN;0;0;0;1;Resting;1
BEN;1;0;1;1;Traveling;2
BEN;0;0;1;1;Feeding;3
BEN;0;1;1;1;Resting;15
ILA;1;0;0;0,52;Traveling;1
ILA;1;0;0;0,52;Resting;5
ILA;1;0;0;0,52;Resting;5
ILA;0;0;0;0,52;Resting;5
ILA;0;0;0;0,52;Resting;5
ILA;0;0;0;0,52;Resting;5
ILA;1;0;0;0,52;Traveling;1
ILA;1;0;0;0,52;Traveling;2
ILA;0;0;0;0,52;Resting;2
ILA;1;0;0;0,52;Resting;2
ILA;1;0;0;0,52;Resting;2
MAC;1;0;0;0,76;Traveling;1
MAC;1;0;0;0,76;Display;8
MAC;0;0;1;0,76;Traveling;5
MAC;0;0;1;0,76;Traveling;5
LAF;1;0;0;0,24;Traveling;1
TRS;0;1;0;0,92;Resting;4
TRS;0;0;1;0,92;Traveling;2
TRS;0;1;1;0,92;Resting;4
TRS;1;0;1;0,92;Traveling;2
TRS;1;0;0;0,92;Traveling;1
TRS;0;0;1;0,92;Traveling;2
TRS;1;0;0;0,92;Traveling;1
TRS;0;0;0;0,92;Resting;1
TRS;0;0;1;0,92;Resting;22
TRS;0;0;1;0,92;Resting;2
TRS;1;0;1;0,92;Display;3
TRS;1;0;0;0,92;Display;1
TRS;1;0;0;0,92;Traveling;1
TRS;1;0;0;0,92;Traveling;3
TRS;0;0;1;0,92;Traveling;4
TRS;0;0;1;0,92;Resting;4
TRS;0;0;1;0,92;Feeding;4
TRS;0;0;1;0,92;Feeding;4
TRS;0;1;1;0,92;Resting;4
TRS;0;1;1;0,92;Traveling;4
TRS;0;0;0;0,92;Traveling;1
SAM;1;0;0;0,68;Traveling;1
SAM;1;0;0;0,68;Display;1
SAM;1;0;0;0,68;Display;1
SAM;1;0;0;0,68;Traveling;1
SAM;1;0;0;0,68;Display;1
TRS;1;0;1;0,92;Resting;5
SAM;0;0;1;0,68;Traveling;4
SAM;0;0;1;0,68;Traveling;4
