focal,rank,context,group_size,drum,hrm
ALF,0.867,Resting,11,0,1
ALF,0.867,Traveling,11,1,1
ALF,0.867,Traveling,1,1,0
ALF,0.867,Traveling,1,1,0
ALF,0.867,Resting,4,0,0
ALF,0.867,Resting,4,1,0
ALF,0.867,Traveling,7,1,0
ALF,0.867,Traveling,7,0,0
TRS,0.9,Resting,2,1,0
TRS,0.9,Traveling,4,1,1
TRS,0.9,Traveling,4,0,0
TRS,0.9,Resting,15,0,1
TRS,0.9,Resting,15,0,1
TRS,0.9,Resting,15,0,1
TRS,0.9,Resting,16,0,1
TRS,0.9,Resting,16,0,1
TRS,0.9,Resting,16,0,1
TRS,0.9,Feeding,16,0,1
TRS,0.9,Feeding,16,0,1
TRS,0.9,Feeding,16,0,1
TRS,0.9,Feeding,16,0,1
TRS,0.9,Feeding,16,0,1
TRS,0.9,Resting,16,0,1
TRS,0.9,Feeding,16,0,1
TRS,0.9,Resting,14,0,1
TRS,0.9,Resting,14,0,1
TRS,0.9,Resting,14,0,1
TRS,0.9,Resting,12,0,1
MAC,0.767,Resting,1,1,0
MAC,0.767,Resting,1,0,0
MAC,0.767,Traveling,1,1,0
MAC,0.767,Traveling,1,0,0
MAC,0.767,Traveling,12,0,1
MAC,0.767,Feeding,1,1,0
MAC,0.767,Feeding,7,0,1
MAC,0.767,Traveling,10,0,1
ALF,0.867,Traveling,6,1,0
ALF,0.867,Resting,6,1,0
ALF,0.867,Traveling,3,0,0
ALF,0.867,Traveling,3,1,0
ALF,0.867,Traveling,3,1,0
ALF,0.867,Traveling,1,1,0
ALF,0.867,Traveling,2,0,0
MAC,0.767,Traveling,1,1,0
SAM,0.667,Resting,1,1,0
SAM,0.667,Traveling,1,1,0
MAC,0.767,Traveling,3,0,0
MAC,0.767,Traveling,3,1,0
ALF,0.867,Feeding,1,0,0
ALF,0.867,Traveling,1,0,0
ILA,0.5,Display,2,1,0
ILA,0.5,Display,6,1,1
ILA,0.5,Display,6,1,1
ILA,0.5,Resting,1,1,0
ILA,0.5,Resting,1,0,0
ILA,0.5,Traveling,1,1,0
ILA,0.5,Resting,7,0,1
MAC,0.767,Traveling,2,1,1
MAC,0.767,Resting,2,0,1
TRS,0.9,Resting,1,0,0
TRS,0.9,Traveling,2,1,0
TRS,0.9,Traveling,2,1,0
TRS,0.9,Traveling,2,1,0
ILA,0.5,Traveling,7,0,1
MAC,0.767,Resting,2,0,1
MAC,0.767,Resting,2,0,1
MAC,0.76,Traveling,8,1,1
MAC,0.76,Display,1,1,0
MAC,0.76,Resting,1,0,0
MAC,0.76,Resting,2,0,1
MAC,0.76,Traveling,2,1,1
MAC,0.76,Resting,2,1,1
MAC,0.76,Resting,3,1,1
MAC,0.76,Resting,3,0,1
MAC,0.76,Traveling,5,1,1
MAC,0.76,Traveling,10,1,1
MAC,0.76,Traveling,9,1,1
MAC,0.76,Resting,13,0,0
ALF,0.84,Resting,4,0,0
ALF,0.84,Traveling,10,1,1
ALF,0.84,Traveling,1,1,0
ALF,0.84,Traveling,1,1,0
ALF,0.84,Traveling,1,1,0
FID,0.4,Resting,1,1,0
FID,0.4,Traveling,10,0,1
FID,0.4,Resting,1,0,0
FID,0.4,Traveling,1,1,0
FID,0.4,Traveling,4,1,1
FID,0.4,Resting,2,0,1
FID,0.4,Traveling,2,0,1
FID,0.4,Traveling,2,1,1
FID,0.4,Traveling,2,1,1
FID,0.4,Resting,3,0,1
FID,0.4,Traveling,4,0,1
FID,0.4,Traveling,4,1,1
FID,0.4,Traveling,4,1,1
FID,0.4,Resting,1,0,1
FID,0.4,Traveling,2,0,1
FID,0.4,Traveling,3,1,1
FID,0.4,Resting,3,1,1
FID,0.4,Resting,3,1,1
FID,0.4,Resting,3,0,1
MAC,0.76,Resting,4,0,0
MAC,0.76,Resting,5,0,0
MAC,0.76,Display,8,0,1
MAC,0.76,Traveling,5,0,1
MAC,0.76,Resting,29,0,1
MAC,0.76,Resting,34,0,1
MAC,0.76,Resting,8,0,1
MAC,0.76,Feeding,13,0,1
ILA,0.52,Traveling,1,1,0
ILA,0.52,Traveling,2,1,1
ILA,0.52,Display,2,1,1
ILA,0.52,Display,1,1,0
ILA,0.52,Display,1,1,0
ILA,0.52,Traveling,1,1,0
SAM,0.68,Resting,23,0,1
LAF,0.24,Traveling,4,0,1
SAM,0.68,Display,22,1,0
TRS,0.92,Resting,3,0,0
TRS,0.92,Resting,3,0,0
TRS,0.92,Resting,3,0,0
TRS,0.92,Resting,1,0,0
TRS,0.92,Resting,1,0,0
TRS,0.92,Resting,23,0,1
TRS,0.92,Traveling,1,1,0
TRS,0.92,Traveling,1,0,0
TRS,0.92,Resting,1,0,0
TRS,0.92,Resting,1,0,0
TRS,0.92,Resting,3,0,0
TRS,0.92,Resting,3,0,0
TRS,0.92,Resting,2,0,0
TRS,0.92,Resting,2,0,0
TRS,0.92,Traveling,1,0,0
TRS,0.92,Traveling,2,1,0
TRS,0.92,Traveling,25,0,0
TRS,0.92,Traveling,2,0,0
TRS,0.92,Resting,2,0,0
TRS,0.92,Resting,2,0,0
TRS,0.92,Traveling,5,0,0
TRS,0.92,Resting,25,0,0
TRS,0.92,Resting,25,1,0
TRS,0.92,Resting,22,0,0
TRS,0.92,Resting,3,0,0
TRS,0.92,Resting,4,0,1
LAF,0.24,Traveling,1,1,0
LAF,0.24,Resting,8,1,1
LAF,0.24,Traveling,8,1,1
LAF,0.24,Traveling,5,0,1
LAF,0.24,Feeding,5,0,1
LAF,0.24,Feeding,4,0,1
FID,0.4,Resting,23,0,1
FID,0.4,Display,2,1,0
FID,0.4,Display,2,1,0
ALF,0.84,Feeding,5,0,1
ALF,0.84,Feeding,5,0,1
ALF,0.84,Traveling,1,1,0
ALF,0.84,Display,1,1,0
ALF,0.84,Resting,2,0,0
ALF,0.84,Resting,2,0,0
ALF,0.84,Traveling,3,0,1
ALF,0.84,Traveling,3,0,1
ALF,0.84,Traveling,3,1,1
ALF,0.84,Resting,13,0,1
ALF,0.84,Traveling,8,0,1
ALF,0.84,Feeding,8,0,1
ALF,0.84,Feeding,8,0,1
ALF,0.84,Feeding,8,0,1
ALF,0.84,Feeding,8,0,1
ALF,0.84,Resting,2,0,1
TRS,0.92,Traveling,1,0,0
ILA,0.52,Traveling,1,1,0
ILA,0.52,Resting,5,1,1
ILA,0.52,Resting,5,1,1
ILA,0.52,Resting,5,0,1
ILA,0.52,Resting,5,0,1
ILA,0.52,Resting,5,0,1
ILA,0.52,Traveling,1,1,0
ILA,0.52,Traveling,2,1,1
ILA,0.52,Resting,2,0,1
ILA,0.52,Resting,2,1,1
ILA,0.52,Resting,2,1,1
MAC,0.76,Traveling,1,1,0
MAC,0.76,Display,8,1,0
MAC,0.76,Traveling,5,0,1
MAC,0.76,Traveling,5,0,1
LAF,0.24,Traveling,1,1,0
TRS,0.92,Resting,4,0,0
