drum_id,tree_id,species,ind_id,context,buttress_id,height,length,width_top,width_middle,width_bottom,buttress_area,area_m2,buttress_width,width_cm,DBH_measure,use
002DR,002TR,CMI,LAF,travel,01B,208,187,85,62,62,19448,1.94480,69.67,6.97,57,Y
002DR,002TR,CMI,LAF,travel,02B,177,93,75,70,95,8230.5,0.82305,80.00,8.00,57,N
002DR,002TR,CMI,LAF,travel,03B,167,113,67,52,54,9435.5,0.94355,57.67,5.77,57,N
002DR,002TR,CMI,LAF,travel,04B,109,147,72,66,44,8011.5,0.80115,60.67,6.07,57,N
002DR,002TR,CMI,LAF,travel,05B,99,112,56,47,60,5544,0.55440,54.33,5.43,57,N
003DR,003TR,CYA,ALF,arrival at feeding tree,01B,105,99,83,60,60,5197.5,0.51975,67.67,6.77,54,Y
003DR,003TR,CYA,ALF,arrival at feeding tree,02B,111,83,51,68,58,4606.5,0.46065,59.00,5.90,54,N
003DR,003TR,CYA,ALF,arrival at feeding tree,03B,143,100,58,40,40,7150,0.71500,46.00,4.60,54,N
003DR,003TR,CYA,ALF,arrival at feeding tree,04B,77,95,67,54,34,3657.5,0.36575,51.67,5.17,54,N
003DR,003TR,CYA,ALF,arrival at feeding tree,05B,68,47,46,34,60,1598,0.15980,46.67,4.67,54,N
004DR,004TR,CYA,MAC,arrival at feeding tree,01B,256,144,84,66,54,18432,1.84320,68.00,6.80,97,Y
004DR,004TR,CYA,MAC,arrival at feeding tree,02B,86,147,61,56,40,6321,0.63210,52.33,5.23,97,N
004DR,004TR,CYA,MAC,arrival at feeding tree,03B,258,157,79,67,55,20253,2.02530,67.00,6.70,97,N
004DR,004TR,CYA,MAC,arrival at feeding tree,04B,216,190,63,56,43,20520,2.05200,54.00,5.40,97,N
004DR,004TR,CYA,MAC,arrival at feeding tree,05B,213,172,73,70,54,18318,1.83180,65.67,6.57,97,N
004DR,004TR,CYA,MAC,arrival at feeding tree,06B,285,122,89,86,62,17385,1.73850,79.00,7.90,97,N
004DR,004TR,CYA,MAC,arrival at feeding tree,07B,85,79,62,57,48,3357.5,0.33575,55.67,5.57,97,N
004DR,004TR,CYA,MAC,arrival at feeding tree,08B,44,57,65,49,49,1254,0.12540,54.33,5.43,97,N
004DR,004TR,CYA,MAC,arrival at feeding tree,09B,252,200,55,41,37,25200,2.52000,44.33,4.43,97,N
004DR,004TR,CYA,MAC,arrival at feeding tree,10B,66,148,52,37,36,4884,0.48840,41.67,4.17,97,N
004DR,004TR,CYA,MAC,arrival at feeding tree,11B,105,172,60,46,39,9030,0.90300,48.33,4.83,97,N
004DR,004TR,CYA,MAC,arrival at feeding tree,12B,93,125,79,55,42,5812.5,0.58125,58.67,5.87,97,N
005DR,005TR,CYA,MAC,travel,01B,157,196,48,56,46,15386,1.53860,50.00,5.00,61,Y
005DR,005TR,CYA,MAC,travel,02B,198,202,49,44,35,19998,1.99980,42.67,4.27,61,N
005DR,005TR,CYA,MAC,travel,03B,87,185,31,34,39,8047.5,0.80475,34.67,3.47,61,N
005DR,005TR,CYA,MAC,travel,04B,205,107,51,43,62,10967.5,1.09675,52.00,5.20,61,N
005DR,005TR,CYA,MAC,travel,05B,55,101,37,33,30,2777.5,0.27775,33.33,3.33,61,N
005DR,005TR,CYA,MAC,travel,06B,53,171,35,36,37,4531.5,0.45315,36.00,3.60,61,N
005DR,005TR,CYA,MAC,travel,07B,143,148,57,65,34,10582,1.05820,52.00,5.20,61,N
006DR,006TR,CMI,MAC,travel,01B,145,101,88,42,33,7322.5,0.73225,54.33,5.43,44,Y
006DR,006TR,CMI,MAC,travel,02B,44,121,40,46,69,2662,0.26620,51.67,5.17,44,N
006DR,006TR,CMI,MAC,travel,03B,168,124,58,50,45,10416,1.04160,51.00,5.10,44,N
006DR,006TR,CMI,MAC,travel,04B,47,45,47,41,36,1057.5,0.10575,41.33,4.13,44,N
006DR,006TR,CMI,MAC,travel,05B,36,64,41,34,30,1152,0.11520,35.00,3.50,44,N
006DR,006TR,CMI,MAC,travel,06B,125,80,63,31,46,5000,0.50000,46.67,4.67,44,N
006DR,006TR,CMI,MAC,travel,07B,101,35,60,44,72,1767.5,0.17675,58.67,5.87,44,N
006DR,006TR,CMI,MAC,travel,08B,92,38,52,41,53,1748,0.17480,48.67,4.87,44,N
009DR,009TR,CYA,BEN,travel,01B,218,141,113,79,38,15369,1.53690,76.67,7.67,58,Y
009DR,009TR,CYA,BEN,travel,02B,33,80,32,40,25,1320,0.13200,32.33,3.23,58,N
009DR,009TR,CYA,BEN,travel,03B,33,80,32,40,25,1320,0.13200,32.33,3.23,58,N
009DR,009TR,CYA,BEN,travel,04B,106,203,62,47,40,10759,1.07590,49.67,4.97,58,N
009DR,009TR,CYA,BEN,travel,05B,143,172,97,64,50,12298,1.22980,70.33,7.03,58,N
009DR,009TR,CYA,BEN,travel,06B,212,113,111,70,43,11978,1.19780,74.67,7.47,58,N
009DR,009TR,CYA,BEN,travel,07B,138,21,42,26,30,1449,0.14490,32.67,3.27,58,N
009DR,009TR,CYA,BEN,travel,08B,88,149,49,56,28,6556,0.65560,44.33,4.43,58,N
009DR,009TR,CYA,BEN,travel,09B,178,52,104,71,37,4628,0.46280,70.67,7.07,58,N
009DR,009TR,CYA,BEN,travel,10B,76,150,36,39,61,5700,0.57000,45.33,4.53,58,N
009DR,009TR,CYA,BEN,travel,11B,142,267,61,45,53,18957,1.89570,53.00,5.30,58,N
009DR,009TR,CYA,BEN,travel,12B,47,124,40,29,28,2914,0.29140,32.33,3.23,58,N
009DR,009TR,CYA,BEN,travel,13B,63,87,64,38,32,2740.5,0.27405,44.67,4.47,58,N
009DR,009TR,CYA,BEN,travel,14B,79,56,32,28,35,2212,0.22120,31.67,3.17,58,N
