drum_id,tree_id,ind_id,context,tree_all_id,species,n_buttresses,circumference,DBH_measure,DBH_calc,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002DR,002TR,LAF,travel,P02_01,CMI,5,228,57,72.57465405,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002DR,002TR,LAF,travel,P02_02,CYA,5,74,20,23.55493158,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002DR,002TR,LAF,travel,P02_03,CMI,2,107,31,34.05915782,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002DR,002TR,LAF,travel,P02_04,MDI,4,148,40,47.10986316,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002DR,002TR,LAF,travel,P02_05,RH,1,338,99,107.5887415,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004DR,004TR,MAC,arrival at feeding tree,P04_01,CYA,12,,97,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004DR,004TR,MAC,arrival at feeding tree,P04_02,CYA,3,123,35,39.152116,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004DR,004TR,MAC,arrival at feeding tree,P04_03,CZE,3,75,25,23.87324146,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005DR,005TR,MAC,travel,P05_01,CYA,7,153,61,48.70141259,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018DR,005TR,ILA,travel,P05_01,CYA,7,153,61,48.70141259,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005DR,005TR,MAC,travel,P05_02,CZE,4,62,21,19.73521294,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018DR,005TR,ILA,travel,P05_02,CZE,4,62,21,19.73521294,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
